id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý ticket P1 là 4 giờ cho việc khắc phục và 15 phút cho phản hồi ban đầu [2].,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,Câu trả lời hoàn toàn dựa trên thông tin trong context.,5,Câu trả lời trực tiếp và đúng trọng tâm của query.,5,Retrieved: 1/1 expected sources,5,Câu trả lời bao phủ đầy đủ các thông tin chính của expected.,baseline_dense
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,"Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng [1], [2].",Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,Câu trả lời hoàn toàn bám sát vào thông tin trong context.,5,Câu trả lời trực tiếp và đúng trọng tâm của query.,1,Retrieved: 0/1 expected sources. Missing: ['policy/refund-v4.pdf'],5,Câu trả lời bao phủ đầy đủ ý chính từ expected.,baseline_dense
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, cần phê duyệt của Line Manager, IT Admin và IT Security [1].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,Câu trả lời hoàn toàn dựa trên thông tin trong context.,5,Câu trả lời trực tiếp và đúng trọng tâm của query.,5,Retrieved: 1/1 expected sources,5,Câu trả lời bao phủ đầy đủ các yêu cầu phê duyệt cho Level 3.,baseline_dense
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Sản phẩm kỹ thuật số không được hoàn tiền theo quy định, trừ khi có lỗi do nhà sản xuất và đáp ứng các điều kiện khác [1].","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",5,Câu trả lời hoàn toàn dựa trên thông tin trong context.,5,Câu trả lời trực tiếp và đúng trọng tâm của query.,1,Retrieved: 0/1 expected sources. Missing: ['policy/refund-v4.pdf'],4,Câu trả lời thiếu thông tin về điều kiện hoàn tiền trong trường hợp sản phẩm bị lỗi.,baseline_dense
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,"Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp. Để mở khóa, liên hệ IT Helpdesk hoặc tự reset qua portal SSO [1].",Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,Câu trả lời hoàn toàn bám sát thông tin trong context.,5,Câu trả lời trực tiếp và đúng trọng tâm của query.,1,Retrieved: 0/1 expected sources. Missing: ['support/helpdesk-faq.md'],5,Câu trả lời bao phủ đủ ý chính của expected.,baseline_dense
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Escalation trong sự cố P1 diễn ra như sau: Nếu không có phản hồi trong 10 phút, ticket sẽ tự động escalate lên Senior Engineer. Trong quá trình xử lý, nếu engineer cần hỗ trợ thêm, họ có thể escalate ngay [2], [3].",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,Câu trả lời hoàn toàn dựa trên context đã trích.,5,Câu trả lời trực tiếp và đúng trọng tâm của query.,5,Retrieved: 1/1 expected sources,5,Câu trả lời bao phủ đủ ý chính về quy trình escalation trong sự cố P1.,baseline_dense
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,"Tài liệu ""Approval Matrix để cấp quyền hệ thống"" là ""Access Control SOP"" [1].",Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,5,Câu trả lời hoàn toàn bám sát vào context đã trích.,5,Câu trả lời trực tiếp và đúng trọng tâm của query.,5,Retrieved: 1/1 expected sources,5,Câu trả lời bao phủ đủ ý chính từ expected.,baseline_dense
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,Nhân viên được làm remote tối đa 2 ngày mỗi tuần [1].,"Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,Câu trả lời hoàn toàn bám sát thông tin trong context.,5,Câu trả lời trực tiếp và đúng trọng tâm của query.,1,Retrieved: 0/1 expected sources. Missing: ['hr/leave-policy-2026.pdf'],4,Câu trả lời thiếu thông tin về yêu cầu phê duyệt từ Team Lead.,baseline_dense
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,Không đủ dữ liệu trong tài liệu để trả lời câu hỏi này.,"Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",5,Câu trả lời hoàn toàn dựa trên thông tin có trong context.,2,Câu trả lời không trực tiếp liên quan đến QUERY về ERR-403-AUTH.,,No expected sources,2,Câu trả lời không cung cấp thông tin cần thiết về lỗi ERR-403-AUTH.,baseline_dense
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?",Không đủ dữ liệu trong tài liệu để trả lời câu hỏi này.,"Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",5,Câu trả lời hoàn toàn dựa trên thông tin trong context.,4,Câu trả lời không trực tiếp trả lời về quy trình cho khách hàng VIP nhưng đề cập đến việc không có thông tin.,1,Retrieved: 0/1 expected sources. Missing: ['policy/refund-v4.pdf'],3,Câu trả lời không bao quát đủ thông tin về quy trình hoàn tiền cho khách hàng VIP.,baseline_dense
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý ticket P1 là 4 giờ cho việc xử lý và khắc phục sau phản hồi ban đầu trong 15 phút kể từ khi ticket được tạo [2].,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,Câu trả lời hoàn toàn dựa trên thông tin trong context.,5,Câu trả lời trực tiếp và đúng trọng tâm của query.,5,Retrieved: 1/1 expected sources,5,Câu trả lời bao phủ đầy đủ các thông tin chính về SLA của ticket P1.,variant_hybrid_rrf
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng [1].,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,Câu trả lời hoàn toàn dựa trên thông tin trong context.,5,Câu trả lời trực tiếp và đúng trọng tâm của query.,1,Retrieved: 0/1 expected sources. Missing: ['policy/refund-v4.pdf'],5,Câu trả lời bao phủ đầy đủ ý chính của expected.,variant_hybrid_rrf
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, cần có sự phê duyệt của Line Manager, IT Admin và IT Security [2].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,Câu trả lời hoàn toàn dựa trên thông tin trong context.,5,Câu trả lời trực tiếp và đúng trọng tâm của query.,5,Retrieved: 1/1 expected sources,5,Câu trả lời bao phủ đầy đủ các yêu cầu phê duyệt cho Level 3.,variant_hybrid_rrf
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,Không đủ dữ liệu trong tài liệu để trả lời câu hỏi này.,"Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",3,"Câu trả lời không hoàn toàn bám sát vào context, nhưng có lý do hợp lý để không đưa ra thông tin sai.",2,Câu trả lời không trực tiếp trả lời câu hỏi về hoàn tiền cho sản phẩm kỹ thuật số.,1,Retrieved: 0/1 expected sources. Missing: ['policy/refund-v4.pdf'],2,Câu trả lời không bao quát đủ thông tin chính về chính sách hoàn tiền cho sản phẩm kỹ thuật số.,variant_hybrid_rrf
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,"Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp. Để mở khóa, liên hệ IT Helpdesk hoặc tự reset qua portal SSO [1].",Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,Câu trả lời hoàn toàn bám sát thông tin trong context.,5,Câu trả lời trực tiếp và đúng trọng tâm của query.,1,Retrieved: 0/1 expected sources. Missing: ['support/helpdesk-faq.md'],5,Câu trả lời bao phủ đủ ý chính của expected.,variant_hybrid_rrf
